Main / Associated,Document URL,Document Name,Link ,Contract Name,Contract Identifier,Language,Country Name,Resource,Contract Type,Signature Date,Document Type,Government Entity,Government Identifier,Company Name 1,Company Name 2,Company Name 1 (concatenated),Company Name 1 ,Company Name 2,Company Name 3,Company Name 4,Company Name 3,Company Name 5,Company Name 6,Company Name 4,Company Name 8,Company Address 1,Jurisdiction of Incorporation 1,Registration Agency 1,Company Number 1,Corporate Grouping 1,Participation Share 1,Open Corporates Link 1,Incorporation Date 1,Operator 1,Company Name 2,Jurisdiction of Incorporation 2,Registration Agency 2,Company Number 2,Corporate Grouping 2,Participation Share 2,Open Corporates Link 2,Incorporation Date 2,Operator 2,Project Title,Project Identifier,License Name,License Identifier,Source Url,Disclosure Mode,Retrieval Date
Main,https://www.gob.mx/cms/uploads/attachment/file/117571/CNH-R01-L03-A15-2015.pdf,,Works,"Área Contractual 15, Ronda 1-3",,es,Mexico,Hydrocarbons,,2016-05-10,Contract,Comisión Nacional de Hidrocarburos,,Renaissance Oil Corp.,S.A. de C.V.,Renaissance Oil Corp. S.A. de C.V.,Renaissance Oil Corp. S.A. de C.V.,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,https://www.gob.mx/cms/uploads/attachment/file/117572/CNH-R01-L03-A16-2015.pdf,,Works,"Área Contractual 16, Ronda 1-3",,es,Mexico,Hydrocarbons,,2016-05-10,Contract,Comisión Nacional de Hidrocarburos,,Roma Energy México,S. de R.L. de C.V.,Roma Energy México S. de R.L. de C.V.,Roma Energy México S. de R.L. de C.V.,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,https://www.gob.mx/cms/uploads/attachment/file/194323/CNH-R01-L03-A18-2015_Modificado.pdf,,Works,"Área Contractual 18, Ronda 1-3",,es,Mexico,Hydrocarbons,,2016-05-10,Contract,Comisión Nacional de Hidrocarburos,,Strata CPB,S.A.P.I. de C.V.,Strata CPB S.A.P.I. de C.V.,Strata CPB S.A.P.I. de C.V.,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,https://www.gob.mx/cms/uploads/attachment/file/117488/CNH-R01-L03-A2-2015.pdf,,Works,"Área Contractual 2, Ronda 1-3",,es,Mexico,Hydrocarbons,Consortium,2016-05-10,Contract,Comisión Nacional de Hidrocarburos,,Consorcio Petrolero 5M Del Golfo,S.A.P.I. de C.V.,Consorcio Petrolero 5M Del Golfo S.A.P.I. de C.V.,Consorcio Petrolero 5M Del Golfo S.A.P.I. de C.V.,Compresión S.A. de C.V,,,"Constructora Marusa, S.A. de C.V.",,,"Nuvoil, S.A. de C.V.",,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,https://www.gob.mx/cms/uploads/attachment/file/117574/CNH-R01-L03-A22-2015.pdf,,Works,"Área Contractual 22, Ronda 1-3",,es,Mexico,Hydrocarbons,,2016-05-10,Contract,Comisión Nacional de Hidrocarburos,,Secadero Petróleo y Gas,S.A. de C.V.,Secadero Petróleo y Gas S.A. de C.V.,Secadero Petróleo y Gas S.A. de C.V.,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,http://rondasmexico.gob.mx/wp-content/uploads/2017/04/CNH-R01-L03-A23-2015.pdf,,Works,"Área Contractual 23, Ronda 1-3",,es,Mexico,Hydrocarbons,,2016-05-10,Contract,Comisión Nacional de Hidrocarburos,,Perseus Tajón,S.A. de C.V.,Perseus Tajón S.A. de C.V.,Perseus Tajón S.A. de C.V.,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,http://rondasmexico.gob.mx/wp-content/uploads/2017/04/CNH-R01-L03-A25-2015.pdf,,Works,"Área Contractual 25, Ronda 1-3",,es,Mexico,Hydrocarbons,,2016-05-10,Contract,Comisión Nacional de Hidrocarburos,,Renaissance Oil Corp.,S.A. de C.V.,Renaissance Oil Corp. S.A. de C.V.,Renaissance Oil Corp. S.A. de C.V.,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,https://www.gob.mx/cms/uploads/attachment/file/117489/CNH-R01-L03-A3-2015.pdf,,Works,"Área Contractual 3, Ronda 1-3",,es,Mexico,Hydrocarbons,,2016-05-10,Contract,Comisión Nacional de Hidrocarburos,,CMM Calibrador,S.A. de C.V.,CMM Calibrador S.A. de C.V.,CMM Calibrador S.A. de C.V.,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,https://www.gob.mx/cms/uploads/attachment/file/117490/CNH-R01-L03-A4-2015.pdf,,Works,"Área Contractual 4, Ronda 1-3",,es,Mexico,Hydrocarbons,,2016-05-10,Contract,Comisión Nacional de Hidrocarburos,,Calicanto Oil & Gas,S.A.P.I. de C.V.,Calicanto Oil & Gas S.A.P.I. de C.V.,Calicanto Oil & Gas S.A.P.I. de C.V.,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,https://www.gob.mx/cms/uploads/attachment/file/117491/CNH-R01-L03-A5-2015.pdf,,Works,"Área Contractual 5, Ronda 1-3",,es,Mexico,Hydrocarbons,,2016-05-10,Contract,Comisión Nacional de Hidrocarburos,,Strata CPB,S.A.P.I. de C.V.,Strata CPB S.A.P.I. de C.V.,Strata CPB S.A.P.I. de C.V.,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
